id,name,displayName,race,bodyType,imagePath,downloadUrl,infoLink,
aurora,aurora_elf,Aurora Head Preset,elf,bt1,images/Aurora-ELF.webp,https://f.rpghq.org/ae6HiGBnKRI3.pak?n=Elf_F%20-%20Violet's%20Preset%201%20Aurora%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/15752,
aurora,aurora_half-elf,Aurora Head Preset,half-elf,bt1,images/Aurora-HELF.webp,https://f.rpghq.org/OltCbM5oJgZa.pak?n=Helf_F%20-%20Violet's%20Preset%201%20Aurora%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/15752,
akira,akira_human,Akira Head Preset,human,bt1,images/Akira.png,https://f.rpghq.org/cDZ6IFLjonhd.pak?n=Human_F%20-%20-%3D%3BAkira%3B%3D-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/15761,
akira,akira_tiefling,Akira Head preset,tiefling,bt1,images/Akira.png,https://f.rpghq.org/yU47qaW2y4nR.pak?n=Tiefling_F%20-%20-%3D%3BAkira%3B%3D-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/15761,
akira,akira_drow,Akira Head preset,drow,bt1,images/Akira.png,https://f.rpghq.org/jTSJty89eKG8.pak?n=Drow_F%20-%20-%3D%3BAkira%3B%3D-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/15761,
akira,akira_elf,Akira Head Preset,elf,bt1,images/Akira.png,https://f.rpghq.org/j8SoFD5kJmAs.pak?n=Elf_F%20-%20-%3D%3BAkira%3B%3D-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/15761,
akira,akira_half-elf,Akira Head Preset,half-elf,bt1,images/Akira.png,https://f.rpghq.org/aMU9lzKwqGYE.pak?n=Helf_F%20-%20-%3D%3BAkira%3B%3D-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/15761,
- alecto -,- alecto -_drow,- Alecto -,drow,bt1,images/__Alecto___meta.png,https://f.rpghq.org/7e7JMYUpufQc.pak?n=Drow_F%20-%20-%20Alecto%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- amunet -,- amunet -_drow,- Amunet -,drow,bt1,images/__Amunet___meta.png,https://f.rpghq.org/5SwUfNgJ4run.pak?n=Drow_F%20-%20-%20Amunet%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- astarte -,- astarte -_drow,- Astarte -,drow,bt1,images/__Astarte___meta.png,https://f.rpghq.org/U8xM3XHheAYG.pak?n=Drow_F%20-%20-%20Astarte%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- bia -,- bia -_drow,- Bia -,drow,bt1,images/__Bia___meta.png,https://f.rpghq.org/OreRnJUYIsEc.pak?n=Drow_F%20-%20-%20Bia%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
